No	EventID	REF_MCP_timestamp	DUT_MCP_timestamp	REF_MCP_maxY	DUT_MCP_maxY	REF_MCP_e_peak	DUT_MCP_e_peak	TrackerX	TrackerY	
71	334	157.3205	158.0716	0.5861	0.1848	3.0668	6.3369	30.2211	31.6308
72	335	175.5885	176.3274	1.6974	0.3196	9.2080	9.4527	27.4606	29.6190
73	336	166.0273	166.7728	3.0985	0.2102	17.1350	5.4935	24.7547	30.8672
74	337	164.6933	165.5317	0.4939	0.1035	2.4408	5.1685	0.0000	0.0000
75	338	168.1911	168.9273	0.7452	0.2030	3.9862	5.8036	0.0000	0.0000
76	339	164.1190	164.8970	0.6534	0.1081	3.4802	2.7837	0.0000	0.0000
77	340	156.6231	157.3865	1.1266	0.1107	5.9948	2.7006	23.8922	31.9388
78	341	170.5392	171.5116	1.0287	0.0371	5.4344	0.5962	24.5051	20.5064
79	342	948.3915	645.8934	0.0443	0.0131	0.1347	0.0542	0.0000	0.0000
80	343	174.0199	174.9770	0.5548	0.0317	2.8976	0.5312	0.0000	0.0000
81	344	166.8267	167.5640	2.0103	0.2632	10.5587	8.4798	0.0000	0.0000
82	345	161.0835	161.8445	1.9174	0.2921	10.2724	10.5216	0.0000	0.0000
83	346	174.6496	175.4197	1.8438	0.4861	10.0090	17.0859	25.4569	23.7901
84	347	178.5816	179.3249	1.3019	0.2567	6.9152	9.3208	0.0000	0.0000
85	348	160.6323	161.4019	2.1059	0.1945	11.2414	4.6488	24.6740	29.8902
86	349	160.3841	161.2160	0.5539	0.0743	3.2305	2.9088	19.9807	29.0713
87	350	156.2767	157.0847	0.5443	0.1012	2.7927	2.8255	29.1847	21.3186
88	351	169.1894	169.9306	1.9905	0.3900	10.5716	12.5327	0.0000	0.0000
89	352	178.3250	179.1822	1.0845	0.0409	5.7760	0.6870	20.1815	25.5441
90	354	165.4497	166.1872	1.4976	0.2738	8.0803	10.9862	25.5002	31.2885
91	355	177.9908	178.7918	1.6759	0.1999	8.8652	5.5599	29.5330	29.0971
92	356	175.2576	176.0096	1.1244	0.3670	6.0093	12.4434	29.4780	29.6667
93	357	154.4783	155.0479	0.8896	0.0365	4.6925	0.6560	25.7896	32.7994
94	358	162.4112	163.1842	2.1437	0.3141	11.4575	8.0652	26.0282	23.9567
95	360	162.8809	163.7052	1.4883	0.1361	7.9345	5.2587	20.7803	28.4016
96	361	157.6667	159.2553	0.3776	0.0327	1.8909	0.3698	0.0000	0.0000
97	362	164.7069	165.4664	1.8712	0.3368	10.1178	10.1993	27.4695	25.9735
98	363	176.1606	176.9481	1.8822	0.2333	10.1290	8.0021	26.3661	22.8816
99	364	155.6137	156.3854	0.8407	0.1130	4.4080	4.1608	30.9713	31.0050
100	365	176.8555	177.6017	1.2414	0.0552	6.5434	1.0438	25.1747	21.5506
101	367	173.9047	175.5928	0.2224	0.0166	1.2505	0.1486	34.7953	27.5919
102	368	166.0304	166.8259	1.8432	0.2214	10.1200	8.4540	31.8966	27.9547
103	369	78.8818	176.5842	0.0428	0.0181	0.1755	0.1392	17.7793	17.6891
104	370	157.3961	158.1114	0.5562	0.1783	2.8971	6.6357	29.9836	31.3407
105	374	172.5460	173.2566	1.7547	0.3125	9.4985	10.7774	25.0301	29.9119
106	375	154.6814	155.4641	2.2421	0.2651	12.0639	8.5142	27.3351	23.0734
107	376	178.4615	179.9340	0.1818	0.0203	0.9643	0.2618	22.4371	34.4643
108	377	165.3150	166.0821	1.9372	0.3295	10.0269	11.3667	25.4215	25.4694
109	378	160.2998	161.0293	1.7084	0.5636	9.2416	19.6720	23.5606	23.8920
110	379	176.2751	177.0235	2.0724	0.2636	11.3631	9.4672	0.0000	0.0000
111	380	167.5573	168.2153	0.5322	0.0737	3.1510	2.1137	20.1485	23.9028
112	381	155.1708	155.9162	1.4302	0.2209	8.6434	6.4698	0.0000	0.0000
113	382	176.0195	176.7790	0.8980	0.0700	5.3286	2.3422	0.0000	0.0000
114	383	164.4124	165.1710	0.9857	0.2284	5.2276	8.6512	0.0000	0.0000
115	384	166.4229	167.1744	2.0582	0.2146	11.2141	5.9773	23.3071	25.6812
116	385	175.9044	176.5138	0.0727	0.0649	0.2725	1.6449	0.0000	0.0000
117	386	161.8729	162.6737	0.3158	0.2676	1.5830	9.3695	21.4109	21.8057
118	387	159.0945	159.8429	2.1830	0.1776	12.6009	6.8581	27.1363	26.3314
119	389	164.4349	165.2220	1.5749	0.2073	8.4261	5.7025	28.0955	27.1684
120	390	156.4871	157.2219	1.7315	0.5922	9.1556	19.6510	0.0000	0.0000
121	391	168.1002	168.8785	1.2829	0.1778	6.7693	4.6904	0.0000	0.0000
122	392	167.6189	168.3719	1.7565	0.2946	9.1085	9.8543	27.5097	25.0870
123	393	163.3480	164.0724	2.1032	0.3515	11.6095	12.5690	27.7674	29.5862
124	394	177.9455	178.7338	1.3923	0.0939	7.6559	3.3266	31.6015	26.5652
125	395	157.8307	158.6225	1.4173	0.0936	7.4216	2.4229	0.0000	0.0000
126	396	157.5733	158.3504	2.2485	0.2595	12.1754	9.8277	24.8949	22.7717
127	398	158.7789	159.5431	2.3583	0.2883	12.8904	9.9017	0.0000	0.0000
128	399	156.8078	157.8400	0.2914	0.0331	1.5602	0.4534	17.6345	28.1401
129	400	172.4378	174.2580	0.3393	0.0159	1.8438	0.1267	17.8953	28.1750
130	401	164.9948	165.7219	1.3653	0.5558	7.3373	19.2048	23.5874	25.4017
131	402	175.3081	176.0308	3.1052	0.7751	16.5627	28.5633	25.3584	25.3441
132	403	162.0711	162.8141	1.6751	0.3926	8.9752	11.4996	0.0000	0.0000
133	404	167.7074	168.4490	1.7761	0.1098	9.7351	3.3605	30.3558	24.2116
134	405	157.1069	157.9126	0.5772	0.0815	3.2114	2.2666	23.7278	20.9238
135	406	160.8037	161.5532	1.8564	0.1713	10.0603	5.5167	27.6001	29.5489
136	407	162.4341	163.2239	1.7561	0.1651	9.4450	5.2633	28.8254	23.3029
137	408	172.4236	173.2602	0.9930	0.0927	5.0740	2.0216	24.5376	21.1416
138	409	159.9182	160.7767	2.1810	0.1369	11.5647	4.2227	25.7363	22.3093
139	411	156.5260	157.2830	2.1621	0.2465	11.8679	8.2301	27.8684	22.8201
140	412	171.3901	172.1069	2.1244	0.2829	11.5126	8.9671	25.3602	28.6700
141	413	167.3264	168.1117	2.0754	0.4427	12.0357	14.0835	28.8532	26.8292
142	414	907.6454	179.4042	0.0404	0.0248	0.2038	0.1883	0.0000	0.0000
143	415	171.7256	172.4480	1.6225	0.3341	8.4688	11.1313	0.0000	0.0000
144	417	159.4486	160.1579	0.9502	0.0681	4.9945	1.7101	28.7753	32.9695
145	418	177.9662	178.7103	2.5026	0.2742	13.7113	8.0481	0.0000	0.0000
146	420	173.9673	174.7284	1.2740	0.1914	7.4460	4.8108	0.0000	0.0000
147	421	173.2234	174.2241	0.2597	0.0365	1.3496	0.5627	0.0000	0.0000
148	422	157.9349	158.6512	1.8757	0.2684	9.9689	8.9627	0.0000	0.0000
149	423	177.9687	178.7357	3.3230	0.1957	18.2798	6.5859	30.4154	29.8220
150	424	171.2058	172.0010	1.5023	0.2329	7.9136	8.2591	29.0502	29.8497
151	425	167.7706	168.5687	1.7171	0.0667	9.1604	2.0988	31.6309	31.2102
152	426	162.2442	162.9967	2.6187	0.3747	14.4311	11.6004	23.9566	27.2395
153	427	176.5845	831.8551	0.4252	0.0137	2.4787	0.0348	33.2500	26.5541
154	428	157.2528	157.9833	1.6591	0.3407	8.8588	13.1443	25.5828	27.8273
155	429	176.0580	176.8707	1.0203	0.0714	5.4456	2.3693	30.7054	27.0808
156	431	157.6608	158.4291	1.6503	0.2698	9.0800	9.1819	0.0000	0.0000
157	432	161.3079	162.0561	0.8879	0.1699	4.6124	3.9521	31.0074	29.1583
158	433	172.3721	173.1346	2.0484	0.3536	11.1564	11.8975	27.3349	28.1061
