No	EventID	REF_MCP_timestamp	DUT_MCP_timestamp	REF_MCP_maxY	DUT_MCP_maxY	REF_MCP_e_peak	DUT_MCP_e_peak	TrackerX	TrackerY	
71	84	163.6478	164.4494	1.6742	0.0933	8.9681	2.2903	28.3932	31.0065
72	85	174.2337	175.0170	2.2461	0.1787	12.0959	5.5631	27.6061	24.7521
73	86	172.2786	173.0579	1.2916	0.0966	6.7380	2.3734	0.0000	0.0000
74	87	179.1581	179.9648	1.5321	0.2349	8.1930	6.7742	30.2426	26.7413
75	91	169.5276	170.2293	0.7594	0.0701	3.9478	1.9970	0.0000	0.0000
76	92	170.0835	170.9196	0.4221	0.0458	2.1107	1.1334	31.3650	23.5003
77	93	176.4610	177.2325	0.8976	0.1250	4.9061	3.7157	25.6143	21.4689
78	94	156.0310	157.5850	0.7674	0.0201	4.0804	0.2158	25.8787	19.8289
79	95	175.3619	176.1555	1.1785	0.1940	6.4160	4.9061	26.1946	30.0518
80	96	164.7211	165.4728	1.9782	0.3710	10.4521	13.0998	25.7511	24.7958
81	98	159.5331	160.4539	0.8263	0.0612	4.4263	0.9615	0.0000	0.0000
82	100	172.8121	173.5558	2.0447	0.3005	11.0966	8.9192	27.8549	29.1837
83	101	179.1931	179.9812	1.7729	0.2259	9.6485	6.7446	25.9907	25.2579
84	102	167.5048	168.2843	1.4377	0.2442	7.8463	7.1485	24.0558	29.0586
85	103	158.9445	159.7245	2.0893	0.2272	10.9676	6.2763	26.1594	26.9036
86	104	172.2943	173.0507	1.9017	0.3252	10.1198	11.8330	28.6501	24.1897
87	105	155.5939	156.7146	0.1589	0.0530	0.6651	0.8799	16.8697	21.4000
88	106	157.6525	158.4050	0.9147	0.1609	4.7197	5.4552	22.1246	30.4424
89	107	159.5510	160.2803	0.7636	0.1129	4.0133	3.2205	28.7935	22.0616
90	108	169.0299	170.0038	1.2788	0.0622	7.0181	0.8806	20.0271	26.4674
91	109	169.1725	169.9675	0.8762	0.1840	4.6854	5.1078	30.2297	29.8757
92	110	173.1704	476.2828	0.1912	0.0133	0.9158	0.0620	25.3857	19.2216
93	111	172.6961	173.4541	1.8415	0.2198	9.7382	7.0572	30.4710	26.2433
94	112	156.2156	156.9561	0.7218	0.1112	3.7350	4.4798	30.4382	30.7583
95	114	166.8081	167.5749	0.4691	0.1584	2.3809	5.6741	21.8702	31.0593
