No	EventID	REF_MCP_timestamp	DUT_MCP_timestamp	REF_MCP_maxY	DUT_MCP_maxY	REF_MCP_e_peak	DUT_MCP_e_peak	TrackerX	TrackerY	
71	94	163.3308	164.1184	0.5923	0.0367	3.1586	0.6125	25.8787	19.8289
72	96	162.1642	163.0066	0.5879	0.0752	3.0639	1.7897	25.7511	24.7958
73	97	113.1490	114.9803	0.2932	0.0234	1.5482	0.2211	22.8587	17.8977
74	98	155.7225	156.5168	3.2874	0.4254	17.7574	14.8444	0.0000	0.0000
75	99	162.4369	163.3141	0.5277	0.0600	2.7419	2.0527	0.0000	0.0000
76	100	160.1565	161.2470	0.3443	0.0298	1.7721	0.4716	27.8549	29.1837
77	101	154.7516	155.4904	1.8976	0.2460	10.3291	6.7767	25.9907	25.2579
78	102	169.5058	170.2016	0.6046	0.1015	3.1573	3.7982	24.0558	29.0586
79	103	175.9219	176.6215	0.6023	0.1112	3.1518	3.3238	26.1594	26.9036
80	104	176.1349	177.8891	0.1412	0.0266	0.8139	0.3687	28.6501	24.1897
81	105	176.4294	177.2907	0.9192	0.0392	4.6893	0.7637	16.8697	21.4000
82	106	158.9417	159.7544	0.2223	0.0502	1.1523	0.9541	22.1246	30.4424
83	107	174.4210	175.1753	1.5407	0.1036	8.0867	2.3656	28.7935	22.0616
84	110	162.3361	163.1399	1.1291	0.0792	6.0139	2.5478	25.3857	19.2216
85	111	172.0214	172.8018	1.0352	0.1516	5.4185	6.6886	30.4710	26.2433
86	112	155.0898	155.8487	1.1865	0.1770	6.4101	6.1746	30.4382	30.7583
87	114	177.1579	178.5146	0.5661	0.0271	3.2168	0.3525	21.8702	31.0593
88	115	169.6373	170.4046	1.6792	0.1917	9.0843	9.1456	0.0000	0.0000
89	116	179.2970	180.0401	2.0963	0.2376	11.1652	7.2824	27.4791	20.5671
90	117	173.7203	174.5588	0.4313	0.1529	2.5406	4.3001	24.8433	31.8890
91	118	163.3942	164.1318	0.3626	0.1172	1.8656	3.4927	25.6956	27.9239
92	119	170.8519	171.6972	1.9279	0.1713	10.3647	6.8003	26.2057	17.4466
93	120	768.3495	161.4771	0.0400	0.3057	0.3024	9.7020	25.1935	32.1453
94	121	164.7801	165.5672	1.6469	0.1962	8.9282	5.9685	24.3264	29.0823
95	123	178.5846	179.4435	0.6525	0.0725	3.9804	1.2259	0.0000	0.0000
96	124	169.2958	170.0749	0.3152	0.0748	1.6974	2.5617	23.6371	30.3645
97	125	158.2703	159.0247	2.1249	0.1479	12.7202	3.8413	28.3496	20.3876
98	127	158.1972	158.9380	1.6345	0.3395	8.5699	10.9086	23.1036	26.4240
99	128	162.9161	163.6609	2.0349	0.2611	10.7068	7.9311	32.1541	29.7916
100	129	168.8104	169.6342	0.5717	0.0450	2.9753	2.9992	22.7314	26.9205
101	130	173.3674	174.1408	2.1030	0.5835	11.6689	19.9269	20.4206	29.2723
102	131	155.3302	156.1923	0.3900	0.0813	1.9550	1.3630	23.5063	28.1973
103	132	175.9753	176.7253	2.4960	0.3428	13.2834	12.1622	33.1392	32.6180
104	133	159.8695	300.1080	0.3904	0.0137	1.9760	0.0461	0.0000	0.0000
105	134	160.1631	160.9436	1.7591	0.2334	9.5077	6.7034	25.8214	24.1532
106	135	163.8808	165.3729	0.1655	0.0165	0.8753	0.1385	26.7123	24.5542
107	138	157.0167	157.7325	1.1566	0.3358	6.1068	13.2521	0.0000	0.0000
108	139	164.4377	165.1650	1.7043	0.2284	9.0473	8.8135	23.7092	25.6260
109	140	170.4994	172.0639	0.1627	0.0183	0.7968	0.2088	0.0000	0.0000
110	141	172.3498	539.1811	0.2314	0.0121	1.1402	0.0479	32.2294	25.5131
111	142	158.9869	159.7635	2.2304	0.3231	12.2342	9.1533	23.3554	32.3712
112	143	174.5504	175.3274	2.0669	0.3246	11.0536	9.3278	26.1624	23.0104
113	144	156.8371	157.5894	1.9304	0.3208	10.4946	8.3825	0.0000	0.0000
114	145	175.8256	176.5382	1.0208	0.2878	5.9528	10.1483	20.9273	24.3654
115	146	171.6258	172.3708	1.8338	0.1780	9.9914	5.1053	0.0000	0.0000
116	147	173.5385	174.2917	1.6367	0.7388	8.9127	27.7683	0.0000	0.0000
117	148	165.8001	166.5749	1.7764	0.3534	9.3184	12.3483	0.0000	0.0000
118	149	173.9120	174.6362	1.9435	0.2401	10.3864	7.5505	26.4832	28.3327
119	151	162.2403	163.1599	0.1851	0.0353	0.9348	0.5301	21.2506	31.2619
120	152	172.0269	172.7892	1.9567	0.3045	10.4272	8.5334	0.0000	0.0000
121	153	170.1254	170.8741	1.4610	0.2759	8.6021	9.4964	21.1056	25.4522
122	155	162.8662	163.6015	1.6543	0.2591	8.7533	7.2266	24.4415	28.4014
123	156	156.5038	157.3060	0.4970	0.0428	2.5441	0.9701	28.6366	26.3208
124	157	158.3243	159.0751	1.6635	0.2862	8.7512	9.6699	28.6755	21.5364
125	159	176.1813	177.0050	1.4181	0.1712	7.8759	6.4227	0.0000	0.0000
126	160	175.5187	176.3707	0.4070	0.0702	2.1516	1.9420	25.4733	26.3741
127	161	174.2680	175.0107	1.6919	0.3325	9.1833	12.5910	30.7384	30.0800
128	162	177.2153	177.9661	0.2268	0.0622	1.0863	2.0910	0.0000	0.0000
129	163	174.8220	175.6129	0.5362	0.1165	2.7091	3.3728	0.0000	0.0000
130	164	155.6436	156.4045	0.2148	0.1639	1.0140	6.0505	29.4013	29.8244
131	165	179.2854	180.0381	1.6683	0.3381	8.8457	11.2418	29.7543	26.6407
132	166	168.9389	169.7448	1.8132	0.1629	9.9135	4.4446	22.9760	20.9727
133	167	172.2151	172.9974	0.8990	0.1212	4.7207	3.9787	25.5105	20.1019
134	168	168.1257	168.8547	1.5311	0.2193	8.2798	6.1777	20.2509	27.9017
135	169	165.9193	166.6944	1.4564	0.1957	7.6112	6.4766	27.5833	20.2621
