No	EventID	REF_MCP_timestamp	DUT_MCP_timestamp	REF_MCP_maxY	DUT_MCP_maxY	REF_MCP_e_peak	DUT_MCP_e_peak	TrackerX	TrackerY	
70	92978	21.7924	1.9848	0.0992	0.0513	2.9186	1.8823	0.0000	0.0000
71	92989	22.4564	2.6383	0.1356	0.1708	3.9012	7.3528	29.6182	23.0999
72	92990	21.5688	1.8701	0.1312	0.0446	3.7984	1.6795	27.4463	19.6911
73	92998	22.3923	2.5771	0.1171	0.2189	3.2718	9.0712	0.0000	0.0000
74	93000	21.7052	1.9380	0.1413	0.0567	4.0407	2.1864	0.0000	0.0000
75	93002	22.3038	2.4745	0.1227	0.1670	3.6021	6.6392	27.6102	27.7948
76	93004	22.2835	2.4506	0.1284	0.1467	3.6254	6.1005	0.0000	0.0000
77	93035	22.2864	2.4644	0.1517	0.2042	4.1573	8.5422	0.0000	0.0000
78	93037	22.2231	2.4162	0.1391	0.1279	4.0476	5.0176	0.0000	0.0000
79	93058	22.3119	2.5020	0.1423	0.2117	4.1412	8.4859	25.6494	28.4112
80	93068	21.5385	1.7409	0.0892	0.0416	2.5651	1.4986	30.8392	29.9768
81	93083	22.0003	2.1991	0.1309	0.0839	3.7790	3.4604	30.3755	30.7334
82	93092	22.1350	2.3268	0.1391	0.0835	3.9786	3.6619	0.0000	0.0000
83	93107	22.4374	2.6302	0.1465	0.2094	4.3506	8.4788	0.0000	0.0000
84	93120	22.2719	2.4561	0.1209	0.1339	3.4956	5.5007	27.6114	23.5146
85	93127	22.3972	2.5430	0.1824	0.2386	5.2401	10.3213	27.2547	25.9739
86	93141	21.7520	2.0098	0.1387	0.0509	4.0785	2.0624	0.0000	0.0000
87	93145	21.8824	2.1524	0.2642	0.0632	7.1438	2.3606	22.2852	21.5112
88	93146	22.4576	2.6184	0.1611	0.3228	4.7115	13.8273	23.2069	26.4485
89	93152	21.9793	2.1789	0.1628	0.0588	4.6665	2.3307	0.0000	0.0000
90	93184	22.1276	2.3225	0.1467	0.0985	4.2230	3.9769	23.0144	21.3045
91	93191	21.9166	2.1166	0.1134	0.0695	3.3155	2.6604	29.9796	29.2958
92	93194	22.1036	2.2870	0.1377	0.0843	3.8995	4.0237	0.0000	0.0000
