;Reco;X;Y;BadFlag;SigmaOutNoise;Baseline;risetime;Amplitude
83;TRUE;32.9292;28.3438;FALSE;15.14189021;-0.000693453;1.08E-07;0.006200614
84;TRUE;29.4843;30.8286;FALSE;11.28167053;-0.000380412;1.19E-07;0.006114106
85;TRUE;33.3429;24.1805;FALSE;38.18888511;-0.000601808;1.11E-07;0.015886647
86;TRUE;30.7853;27.728;FALSE;74.7008472;-0.000684973;8.18E-08;0.031422253
87;TRUE;32.2239;25.4712;FALSE;43.84431184;-0.000347108;9.67E-08;0.018357034
88;TRUE;30.4894;20.8039;FALSE;69.50072028;-0.000528727;8.87E-08;0.032883521
89;TRUE;30.6305;30.2193;TRUE;4.06421771;-0.000520796;2.00E-10;0.00174991
90;TRUE;29.7768;25.4534;FALSE;225.2447939;-0.00091036;8.02E-08;0.099522498
91;FALSE;;;;;;;
92;TRUE;27.0505;27.0254;FALSE;207.0136467;-0.000628541;7.88E-08;0.092223246
93;FALSE;;;;;;;
94;TRUE;29.3669;24.8642;FALSE;221.7986357;-0.000321892;8.01E-08;0.096896405
95;TRUE;31.6731;25.1998;FALSE;93.85300032;-0.000601597;8.70E-08;0.041691556
96;FALSE;;;;;;;
97;TRUE;29.3207;31.5194;FALSE;21.87796853;-0.000593032;8.89E-08;0.009074536
98;TRUE;32.9257;24.0549;FALSE;6.41452894;-0.000211728;5.50E-09;0.002736139
99;FALSE;;;;;;;
100;TRUE;31.7117;25.8071;FALSE;13.25730221;-0.000588938;7.94E-08;0.005718779
101;TRUE;31.9309;31.2631;FALSE;5.262788039;-0.001031581;4.00E-10;0.001495977
102;FALSE;;;;;;;
103;FALSE;;;;;;;
104;TRUE;30.752;21.8799;FALSE;61.74532238;-0.000566989;8.62E-08;0.025567744
105;TRUE;33.2088;27.5832;FALSE;37.12894775;-0.00033281;9.13E-08;0.016887289
106;FALSE;;;;;;;
107;TRUE;23.9901;29.6534;FALSE;113.4259522;-0.00068684;8.17E-08;0.047277848
108;TRUE;30.6136;29.3317;FALSE;47.4852272;-0.000473224;1.09E-07;0.019556697
109;FALSE;;;;;;;
110;TRUE;24.0728;25.2487;FALSE;101.3912818;-0.000515929;8.46E-08;0.045121508
111;TRUE;32.4042;27.1413;FALSE;58.9243699;-0.000708407;9.53E-08;0.023724345
112;TRUE;27.6881;22.1107;FALSE;190.0117099;-0.000773563;8.09E-08;0.078514279
113;TRUE;24.0631;29.5996;FALSE;53.95553996;-0.000708131;8.91E-08;0.02336918
114;FALSE;;;;;;;
115;TRUE;30.3967;29.8554;FALSE;26.17296227;-0.00084164;9.39E-08;0.011259548
116;TRUE;26.5242;25.5994;FALSE;232.1224029;-0.000580713;8.33E-08;0.097773969
117;TRUE;29.5781;31.2446;TRUE;4.908063178;-0.000566877;4.00E-10;0.002139703
118;TRUE;26.2389;27.6595;FALSE;149.0394978;-0.000757011;7.99E-08;0.060810534
119;TRUE;30.6231;22.3366;FALSE;185.9577928;-0.000437685;8.08E-08;0.090730287
120;TRUE;23.5548;25.6595;FALSE;187.2267;-0.000407224;8.16E-08;0.07608896
121;FALSE;;;;;;;
122;FALSE;;;;;;;
123;TRUE;32.8967;28.4214;FALSE;14.14019121;-0.000525343;8.19E-08;0.005989933
124;TRUE;25.715;25.643;FALSE;249.941168;-0.000567242;7.98E-08;0.107560844
125;TRUE;27.6103;28.5278;FALSE;193.9074623;-0.001090093;7.91E-08;0.07994643
126;FALSE;;;;;;;
127;TRUE;24.9701;22.3107;FALSE;370.1820981;-0.00093455;7.12E-08;0.15258137
128;TRUE;29.4338;28.3616;FALSE;164.7650216;-0.000673084;7.72E-08;0.068408073
129;FALSE;;;;;;;
130;TRUE;30.2198;26.3818;FALSE;97.91016144;-0.000795155;8.12E-08;0.042987228
131;FALSE;;;;;;;
132;TRUE;25.8494;24.7032;FALSE;278.1900442;-0.000377581;8.06E-08;0.118037618
133;FALSE;;;;;;;
134;TRUE;33.0823;24.2691;FALSE;26.72883208;-0.000435821;1.05E-07;0.012023409
135;TRUE;22.5894;27.4529;FALSE;138.4255209;-0.000505926;8.02E-08;0.058384119
